Lead__ppm,Long,Lat
3226,-75.1199,39.9783
1900,-75.1201,39.9782
466,-75.1203,39.9782
105,-75.1173,39.9754
171,-75.1178,39.9751
330,-75.1185,39.9751
125,-75.1178,39.9756
215,-75.118,39.9762
995,-75.1185,39.9766
37,-75.1186,39.9767
790,-75.119,39.9762
188,-75.1191,39.9757
239,-75.1188,39.9752
351,-75.1188,39.9751
249,-75.1188,39.9749
341,-75.1205,39.9736
278,-75.1206,39.9735
274,-75.1207,39.9735
319,-75.1208,39.9735
1101,-75.121,39.9735
334,-75.1211,39.9734
818,-75.1212,39.9734
286,-75.1215,39.9734
250,-75.1216,39.9734
296,-75.1216,39.9737
403,-75.1216,39.9743
390,-75.1216,39.9744
437,-75.1215,39.9746
212,-75.1214,39.9747
1138,-75.1218,39.976
291,-75.1217,39.976
161,-75.1216,39.976
327,-75.1215,39.9762
235,-75.1215,39.9762
489,-75.1215,39.9763
1186,-75.1216,39.9763
22,-75.1224,39.9767
150,-75.1206,39.9761
224,-75.1206,39.976
180,-75.1207,39.9759
83,-75.1207,39.9758
82,-75.1203,39.9767
98,-75.1202,39.9767
66,-75.119,39.9797
142,-75.119,39.9794
20,-75.1189,39.9795
64,-75.1187,39.9794
180,-75.1185,39.9793
147,-75.1185,39.9795
304,-75.1183,39.9797
325,-75.1182,39.9799
170,-75.118,39.9804
167,-75.1179,39.9806
211,-75.1178,39.9808
873,-75.1177,39.981
777,-75.1176,39.9813
270,-75.1177,39.9816
216,-75.1179,39.9817
242,-75.1182,39.9811
220,-75.1184,39.9811
249,-75.1191,39.9806
97,-75.1193,39.9805
25,-75.1192,39.9804
465,-75.1292,39.9691
319,-75.1315,39.9694
175,-75.1315,39.9696
84,-75.1312,39.9698
275,-75.1295,39.9686
386,-75.1276,39.9694
660,-75.12954,39.968764
612,-75.12948,39.968781
801,-75.129397,39.968803
642,-75.12926,39.968815
425,-75.127,39.9695
147,-75.1272,39.97
497,-75.1301,39.9708
83,-75.1307,39.9711
173,-75.1303,39.9712
203,-75.13,39.9713
617,-75.129606,39.971945
867,-75.129564,39.971866
522,-75.129498,39.971928
312,-75.129409,39.971955
427,-75.12943,39.971996
62,-75.1106,39.9803
33,-75.209587,39.949023
171,-75.209201,39.94903
130,-75.210395,39.948781
134,-75.209921,39.947623
378,-75.209781,39.947119
168,-75.209359,39.947872
321,-75.209816,39.947758
191,-75.209631,39.947469
232,-75.209105,39.947099
269.3333333,-75.210053,39.94691
76,-75.217044,39.942399
109,-75.217044,39.942366
45,-75.217148,39.942105
150,-75.217258,39.942044
28,-75.217588,39.942194
20,-75.217767,39.942377
243,-75.218245,39.942874
131,-75.216637,39.943267
277,-75.210094,39.942395
187.6666667,-75.209743,39.941969
274,-75.210188,39.941978
212,-75.210859,39.942002
177,-75.209951,39.941491
30,-75.1499,39.996843
67,-75.149757,39.996913
19,-75.149249,39.996756
59,-75.148962,39.996756
147,-75.151884,39.985948
196,-75.151739,39.985997
32,-75.151548,39.986163
138,-75.151637,39.986258
201,-75.152111,39.986384
134,-75.10008,40.046632
104,-75.100509,40.046236
79,-75.100909,40.045982
68,-75.100904,40.045736
75,-75.101195,40.045929
117,-75.102232,40.046609
112,-75.103093,40.047165
51,-75.102355,40.047465
16,-75.101705,40.047615
68.33333333,-75.101245,40.047381
84,-75.198013,39.960359
1072,-75.198388,39.960662
55,-75.198989,39.960539
49,-75.199124,39.960332
102,-75.199047,39.959698
320,-75.198731,39.959533
68,-75.198792,39.959738
114,-75.199082,39.959694
541,-75.199539,39.959957
92,-75.198776,39.959914
100,-75.198834,39.960045
48,-75.198817,39.959965
128,-75.178896,39.955448
89.33333333,-75.17384,39.954967
208,-75.17384,39.938083
144,-75.198074,39.94181
60,-75.198153,39.942388
106,-75.198721,39.942512
49,-75.199636,39.942824
143,-75.199654,39.942793
75,-75.203514,39.942059
173,-75.202069,39.942993
82,-75.204277,39.9409
198,-75.203436,39.948599
70,-75.204392,39.948218
228,-75.205394,39.947167
542,-75.204847,39.94612
249,-75.204451,39.945205
158,-75.202259,39.944791
211,-75.200466,39.945517
139,-75.200296,39.946686
32,-75.200663,39.947444
140.6666667,-75.201634,39.94911
78,-75.197493,39.959948
231,-75.198264,39.959518
143,-75.161727,40.006293
146,-75.161832,40.006173
71,-75.161056,40.006521
84,-75.161647,40.007416
216,-75.162039,40.007801
1513,-75.161672,40.008017
289,-75.161743,40.008093
84,-75.1623,40.008028
621,-75.165393,40.006442
36,-75.165733,40.002164
89,-75.165641,40.001849
195,-75.167542,39.994094
66,-75.167354,39.99373
147,-75.167354,39.99373
702,-75.117759,39.977291
128,-75.117815,39.977216
1083,-75.119333,39.977115
3029,-75.119429,39.976857
10,-75.118299,39.980853
81,-75.118385,39.980843
119,-75.118557,39.980425
154,-75.118807,39.979718
19,-75.119316,39.980709
817,-75.118705,39.980926
99,-75.128025,39.966462
218,-75.1279,39.966604
237,-75.128231,39.966757
60.66666667,-75.128253,39.966279
118,-75.128501,39.966043
226,-75.128746,39.96596
142,-75.129878,39.96601
158.3333333,-75.129293,39.966285
191,-75.137052,39.967069
106,-75.1782,39.978229
50,-75.178553,39.97806
98,-75.178666,39.97812
104,-75.178619,39.978135
52,-75.179075,39.977884
32,-75.178835,39.977319
176,-75.178656,39.977621
179,-75.179694,39.977431
132,-75.179969,39.97755
254,-75.179685,39.978183
60,-75.187534,39.977016
107,-75.187906,39.976847
54,-75.187813,39.977165
107,-75.187872,39.977132
84,-75.120128,39.978265
914,-75.12017,39.978248
54,-75.118302,39.976812
34,-75.118576,39.976689
162,-75.151044,39.966342
178,-75.151382,39.966474
233,-75.151274,39.966442
155,-75.15132,39.966552
475.3333333,-75.151434,39.966397
212.6666667,-75.151423,39.966426
165.3333333,-75.151307,39.966348
237,-75.151222,39.966062
116,-75.149957,39.968959
86,-75.038618,40.024122
139,-75.1744,40.0709
129,-75.149178,40.033533
221,-75.1487,40.0555
961,-75.173426,40.062752
61,-75.103257,40.050089
406,-75.154758,40.067199
1866,-75.1743,40.071
142,-75.10565,40.04264
505,-75.15199,40.06877
96,-75.1566,40.0518
1869,-75.1728,40.0463
277,-75.10595,40.04264
189,-75.10595,40.0426
291,-75.1529,40.0619
67,-75.1799,40.0721
113,-75.174685,40.070869
175,-75.210114,39.9537
153,-75.10595,40.04264
280,-75.15265,40.070047
1917,-75.134114,40.031531
72,-75.16966,40.056497
970,-75.0864,40.033
510,-75.1668,40.021
106,-75.171,40.0721
290,-75.166201,40.067372
214,-75.164331,40.032572
307,-75.1541,40.0417
61,-75.098894,40.053315
218,-75.10595,40.04264
150,-75.147626,40.048441
661,-75.1789,40.0678
125,-75.1033,40.0105
60,-75.142233,40.025203
116,-75.17126,40.02573
4685,-75.202013,40.065078
50,-75.1809,40.0719
158,-75.179299,39.975178
109,-75.1719,40.0595
345,-75.20841,40.024226
155,-75.149098,40.038983
221,-75.124613,39.988841
89,-75.184923,40.024481
77,-75.123768,39.988063
361,-75.12522,39.989426
263,-75.087061,40.019944
115,-75.1662,40.0689
140,-75.07055,40.001988
561,-75.20841,40.044226
1197,-75.208411,40.044226
707,-75.089153,40.017289
206,-75.172526,39.923839
277,-75.20841,40.044226
100,-75.128964,40.052693
297,-75.1752,40.0528
456,-75.20841,40.044226
104,-75.087872,40.017361
289,-75.110569,39.983831
18064,-75.188096,39.992074
15069,-75.188096,39.992074
14988,-75.188096,39.992074
11241,-75.188096,39.992074
9883,-75.129705,39.97323
7700,-75.12769,39.9751
7665,-75.188096,39.992074
7373,-75.069986,40.039007
7015,-75.188096,39.992074
5341,-75.220965,39.949689
4805,-75.129822,39.977514
4507,-75.069986,40.039007
4448,-75.21226,39.946495
4422,-75.126722,39.986154
4312,-75.203451,39.969468
3600,-75.134144,40.052596
3573,-75.13254,39.971178
3425,-75.126132,39.970467
3392,-75.21226,39.946495
3208,-75.126132,39.970467
3200,-75.176088,39.964306
3100,-75.19126,39.962151
3018,-75.117213,39.978477
2904,-75.117204,39.977289
2900,-75.194299,39.961823
2774,-75.121004,39.977739
2765,-75.117213,39.978477
2763,-75.116714,39.97674
2744,-75.220965,39.949689
2500,-75.191297,40.058053
2500,-75.119002,39.975619
2400,-75.187377,39.98138
2400,-75.122156,39.981853
2357,-75.120946,39.978667
2354,-75.120502,39.978151
2323,-75.091047,40.016392
2300,-75.167316,39.935466
2300,-75.128535,39.982398
2279,-75.16218,39.95222
2278,-75.117213,39.978477
2200,-75.175336,39.990301
2200,-75.213338,40.021446
2144,-75.121004,39.977739
2141,-75.16218,39.95222
2109,-75.16218,39.95222
2100,-75.13253,39.971104
2051,-75.155004,39.92292
2006,-75.188096,39.992074
2000,-75.178675,39.978625
1982,-75.12817,39.982059
1900,-75.146769,39.963236
1900,-75.206321,40.077563
1819,-75.116502,39.977658
1808,-75.12817,39.982059
1800,-75.192921,39.961967
1800,-75.116576,39.976844
1800,-75.219193,40.029975
1783,-75.122451,39.979404
1718,-75.123827,39.980924
1713,-75.217581,39.94502
1701,-75.13254,39.971178
1700,-75.146769,39.963236
1700,-75.131871,39.969889
1691,-75.125336,39.970764
1647,-75.210631,39.962504
1632,-75.130497,39.976317
1600,-75.212003,39.954006
1600,-75.145887,39.966827
1600,-75.13253,39.971104
1593,-75.123827,39.980924
1536,-75.188096,39.992074
1523,-75.188513,40.035
1500,-75.148443,39.944961
1500,-75.123827,39.980924
1499,-75.130497,39.976317
1493,-75.223118,39.947626
1478,-75.117861,39.979215
1468,-75.117913,39.978193
1460,-75.223118,39.947626
1448,-75.165017,40.025799
1445,-75.12327,39.98034
1442,-75.157836,40.00221
1439,-75.163441,39.951526
1400,-75.155904,39.962867
1400,-75.142914,39.971132
1400,-75.133132,39.974614
1400,-75.129456,39.978148
1400,-75.127361,39.979062
1400,-75.12242,39.979498
1372,-75.117861,39.979215
1371,-75.116281,39.977406
1364,-75.143089,40.006805
1349,-75.135031,40.050934
1339,-75.188096,39.992074
1323,-75.163441,39.951526
1322,-75.210631,39.962504
1321,-75.132653,39.975372
1318,-75.163441,39.951526
1313,-75.12817,39.982059
1312,-75.210631,39.962504
1300,-75.14802,39.95363
1300,-75.180145,40.039117
1300,-75.140905,39.984548
1285,-75.120946,39.978667
1284,-75.169965,39.992759
1280,-75.121004,39.977739
1278,-75.089623,39.989088
1275,-75.122451,39.979404
1269,-75.198425,40.044915
1260,-75.13173,39.96972
1247,-75.117913,39.978193
1235,-75.116502,39.977658
1221,-75.220229,39.964742
1205,-75.125542,39.986775
1204,-75.117213,39.978477
1200,-75.171946,39.929584
1200,-75.152844,39.962321
1200,-75.136114,39.965775
1200,-75.142914,39.971132
1200,-75.144726,39.975525
1200,-75.127481,39.97221
1197,-75.116281,39.977406
1196,-75.127333,39.983085
1187,-75.22094,39.954582
1162,-75.157968,39.986424
1133,-75.222063,39.954078
1129,-75.122451,39.979404
1116,-75.120374,39.978955
1112,-75.187977,40.052019
1109,-75.120374,39.978955
1108,-75.069986,40.039007
1107,-75.13173,39.96972
1104,-75.132193,39.976146
1100,-75.188096,39.992074
1100,-75.166863,39.92768
1100,-75.174382,39.964705
1100,-75.141061,39.962843
1100,-75.12769,39.9751
1100,-75.12242,39.979498
1100,-75.123827,39.980924
1100,-75.127901,39.969856
1100,-75.125451,39.970919
1100,-75.116576,39.976844
1100,-75.143231,39.984654
1100,-75.147154,39.988197
1098,-75.230712,39.950882
1097,-75.117861,39.979215
1095,-75.16218,39.95222
1093,-75.069986,40.039007
1092,-75.126704,39.973221
1087,-75.129835,39.969045
1072,-75.116502,39.977658
1071,-75.132414,39.966849
1059,-75.13254,39.971178
1058,-75.217781,39.947135
1055,-75.165335,40.024051
1053,-75.165335,40.024051
1047,-75.123873,39.974724
1045,-75.120943,39.978756
1029,-75.176626,40.034086
1024,-75.212031,39.946245
1021,-75.124453,39.981663
1016,-75.116502,39.977658
1012,-75.16218,39.95222
1004,-75.212672,39.944778
1000,-75.145887,39.966827
1000,-75.146058,39.969437
1000,-75.131871,39.969889
1000,-75.124754,39.978301
1000,-75.132653,40.002072
1000,-75.129874,39.973171
1000,-75.10947,39.98812
992,-75.131852,39.977829
990,-75.202268,39.955626
990,-75.143464,40.005133
990,-75.127361,39.979062
990,-75.1415,39.96596
990,-75.1415,39.96596
988,-75.116151,39.976092
986,-75.120943,39.978756
979,-75.093273,39.993201
970,-75.132636,39.969446
970,-75.127361,39.979062
970,-75.131871,39.969889
960,-75.165613,39.95647
960,-75.12657,39.973235
959,-75.218738,39.950921
955,-75.117393,39.981555
954,-75.116502,39.977658
953,-75.16218,39.95222
947,-75.197552,40.049838
941,-75.202477,39.969512
940,-75.145887,39.966827
940,-75.127874,39.985498
940,-75.125527,39.986707
934,-75.167676,40.036023
934,-75.116034,39.977118
930,-75.129835,39.969045
924,-75.117861,39.979215
920,-75.219226,39.948732
920,-75.13253,39.971104
920,-75.124453,39.981663
915,-75.126132,39.970467
913,-75.130596,39.96756
907,-75.114232,39.99009
907,-75.217581,39.94502
903,-75.089623,39.989088
903,-75.194562,39.963653
902,-75.115732,39.976776
900,-75.145285,39.969345
899,-75.212031,39.946245
895,-75.16218,39.95222
891,-75.133823,39.974778
890,-75.211014,39.950784
882,-75.156277,40.008747
881,-75.098002,39.986928
880,-75.132636,39.969446
880,-75.124393,39.981555
880,-75.124393,39.981555
878,-75.132193,39.976146
870,-75.165764,39.987513
870,-75.167671,40.036014
870,-75.167671,40.036014
870,-75.130497,39.976317
869,-75.089623,39.989088
868,-75.12615,39.986451
867,-75.120943,39.978756
860,-75.154536,39.932346
860,-75.220155,40.02375
860,-75.12769,39.9751
850,-75.16218,39.95222
850,-75.092525,40.023388
850,-75.147899,39.963159
850,-75.123243,39.981357
842,-75.133823,39.974778
840,-75.089623,39.989088
840,-75.206338,39.958878
840,-75.143412,39.965417
840,-75.16218,39.95222
840,-75.089623,39.989088
839,-75.187977,40.052019
830,-75.131983,39.968259
820,-75.188096,39.992074
820,-75.148099,39.970852
814,-75.212631,39.951006
813,-75.129084,39.975039
810,-75.132563,39.98317
810,-75.148452,39.982077
810,-75.12769,39.9751
810,-75.110555,39.985643
810,-75.114678,39.989624
800,-75.171807,39.937446
800,-75.127901,39.969856
800,-75.117703,39.981906
798,-75.214387,40.024619
795,-75.188096,39.992074
794,-75.125034,39.981339
792,-75.220229,39.964742
790,-75.129084,39.975039
786,-75.16218,39.95222
784,-75.116502,39.977658
782,-75.119472,39.980547
780,-75.158197,39.959874
780,-75.172505,40.027949
778,-75.065376,40.001351
776,-75.129835,39.969045
769,-75.076376,39.995752
760,-75.207227,39.949708
760,-75.145338,39.964217
760,-75.138119,39.973595
756,-75.226392,39.97422
756,-75.125943,39.98799
750,-75.136114,39.965775
750,-75.119038,39.983387
748,-75.108503,39.97863
745,-75.16218,39.95222
744,-75.123873,39.981024
744,-75.096796,39.987576
743,-75.120946,39.978667
740,-75.221233,39.948951
740,-75.126192,39.983791
740,-75.206546,40.043014
740,-75.13907,39.9865
739,-75.114765,39.97854
738,-75.130497,39.976317
738,-75.116502,39.977658
736,-75.16218,39.95222
733,-75.117942,39.978099
732,-75.127333,39.971772
732,-75.116502,39.977658
730,-75.146518,39.964307
730,-75.122838,39.975014
726,-75.126222,39.983697
726,-75.133823,39.974778
725,-75.133823,39.974778
725,-75.123634,39.98457
717,-75.098002,39.986928
716,-75.130497,39.976317
716,-75.095473,39.987855
715,-75.188096,39.992074
713,-75.117703,39.981906
709,-75.124453,39.981663
709,-75.114218,39.986689
709,-75.133132,39.974614
707,-75.124463,39.979728
704,-75.12327,39.98034
701,-75.127307,39.985857
701,-75.219269,39.948485
700,-75.127901,39.969856
700,-75.125664,39.973633
698,-75.123827,39.980924
693,-75.132414,39.966849
692,-75.116844,39.977487
689,-75.125283,39.984664
688,-75.109146,39.995718
686,-75.098002,39.986928
683,-75.221025,39.945875
683,-75.208247,39.967014
680,-75.114765,39.97854
680,-75.143997,39.965817
680,-75.144094,39.96808
680,-75.124754,39.978301
680,-75.127874,39.985498
679,-75.121623,39.977496
679,-75.124453,39.981663
678,-75.126785,39.978513
677,-75.12615,39.986451
676,-75.12615,39.986451
674,-75.223118,39.947626
673,-75.179785,39.970287
672,-75.121889,39.977212
672,-75.252036,39.969568
671,-75.155004,39.92292
670,-75.13835,39.9623
670,-75.190568,40.033195
668,-75.096324,39.988809
668,-75.208247,39.967014
668,-75.116403,39.976389
667,-75.122424,39.979324
667,-75.13183,39.990253
664,-75.089623,39.989088
664,-75.133823,39.974778
660,-75.131983,39.971436
660,-75.205454,39.961332
655,-75.20634,40.018453
654,-75.130501,39.982779
652,-75.129822,39.977514
652,-75.117204,39.977289
650,-75.12769,39.9751
650,-75.09313,39.989146
644,-75.126753,39.98043
644,-75.109146,39.995718
640,-75.143997,39.965817
640,-75.131983,39.971436
640,-75.203717,40.074352
640,-75.127901,39.969856
638,-75.096324,39.988809
636,-75.126222,39.983697
633,-75.126722,39.986154
630,-75.134566,39.974334
630,-75.10945,39.982545
629,-75.125034,39.981339
629,-75.188096,39.992074
625,-75.131797,39.976803
624,-75.123873,39.981024
623,-75.129705,39.97323
623,-75.108775,39.987243
621,-75.133823,39.974778
620,-75.172173,39.943502
620,-75.119292,39.97962
620,-75.121237,39.979936
620,-75.145887,39.966827
620,-75.09313,39.989146
614,-75.222677,39.950648
614,-75.1725,40.028031
614,-75.141297,39.965391
613,-75.117393,39.981555
613,-75.127887,39.985542
612,-75.123873,39.974724
611,-75.108775,39.987243
610,-75.145991,39.964436
608,-75.212484,39.951763
606,-75.095473,39.987855
604,-75.143089,40.006805
602,-75.131797,39.976803
602,-75.126785,39.978513
600,-75.15365,39.920137
600,-75.12769,39.9751
600,-75.140034,39.972493
600,-75.108378,39.981835
600,-75.138445,39.981299
599,-75.22025,39.947266
598,-75.131285,39.983742
595,-75.092679,39.987513
594,-75.130497,39.976317
593,-75.123827,39.980924
591,-75.108775,39.987243
591,-75.133823,39.974778
590,-75.219081,39.948205
590,-75.127333,39.978234
590,-75.12769,39.9751
586,-75.133823,39.974778
586,-75.190568,40.033195
585,-75.131985,39.98332
583,-75.188513,40.035
580,-75.16972,39.919195
580,-75.145338,39.964217
580,-75.179785,39.970287
580,-75.131949,39.973076
579,-75.13188,39.969986
578,-75.133823,39.974778
577,-75.114765,39.97854
576,-75.122932,39.989623
574,-75.123226,39.982186
572,-75.12411,39.984114
571,-75.157836,40.00221
570,-75.12645,39.97027
570,-75.136217,39.975863
570,-75.123827,39.980924
570,-75.165335,40.024051
569,-75.222001,40.030847
561,-75.096324,39.988809
560,-75.208777,39.946749
560,-75.127572,39.974731
560,-75.127855,39.985636
560,-75.125411,39.974085
560,-75.145311,39.984017
550,-75.159627,39.934382
550,-75.154833,39.960162
550,-75.170062,39.943252
550,-75.126722,39.986154
548,-75.16218,39.95222
546,-75.16218,39.95222
546,-75.095973,39.984525
545,-75.230559,40.0671
543,-75.119522,39.976092
542,-75.113995,39.977667
542,-75.127333,39.978234
542,-75.229911,39.977101
540,-75.144956,39.966143
540,-75.131871,39.969889
540,-75.224698,40.025947
540,-75.13254,39.971187
540,-75.12769,39.9751
540,-75.092696,39.987539
539,-75.186382,39.991779
538,-75.222001,40.030847
537,-75.21226,39.946495
535,-75.123873,39.981024
535,-75.096796,39.987576
533,-75.212031,39.946245
531,-75.187977,40.052019
530,-75.141414,39.966467
530,-75.176476,39.970005
530,-75.131949,39.973076
530,-75.132431,39.973966
530,-75.149776,39.976197
530,-75.186439,40.056217
529,-75.108775,39.987243
528,-75.095973,39.984525
528,-75.123873,39.981024
527,-75.188096,39.992074
526,-75.16218,39.95222
526,-75.202477,39.969512
525,-75.125142,39.986289
524,-75.123873,39.981024
522,-75.206884,39.962484
521,-75.210106,39.940689
521,-75.21587,39.94745
521,-75.16218,39.95222
520,-75.160505,39.934474
520,-75.207025,39.946707
520,-75.130296,39.972038
520,-75.118233,39.978553
517,-75.109514,40.019676
517,-75.132414,39.966849
517,-75.123873,39.981024
510,-75.165833,39.925016
510,-75.179631,40.05702
510,-75.12242,39.979498
510,-75.128572,39.974742
506,-75.222001,40.030847
503,-75.129705,39.97323
502,-75.124481,39.980709
501,-75.229284,39.949175
500,-75.196938,39.996677
500,-75.134505,39.964791
497,-75.252036,39.969568
495,-75.130857,39.981287
494,-75.214055,39.945852
492,-75.19218,40.0145
491,-75.208247,39.967014
490,-75.143087,39.970091
490,-75.224698,40.025947
490,-75.132995,40.04989
490,-75.12242,39.979498
490,-75.12738,39.976831
490,-75.188096,39.992074
489,-75.109514,40.019676
488,-75.208709,39.971531
488,-75.208709,39.971531
486,-75.095982,39.988377
485,-75.109514,40.019676
484,-75.095982,39.988377
483,-75.129822,39.977514
481,-75.109514,40.019676
480,-75.095982,39.988377
480,-75.215103,40.028308
479,-75.188096,39.992074
479,-75.109514,40.019676
477,-75.16218,39.95222
476,-75.168284,40.029156
473,-75.16218,39.95222
473,-75.16218,39.95222
472,-75.221025,39.945875
471,-75.252036,39.969568
470,-75.221736,39.95522
470,-75.16218,39.95222
470,-75.145956,39.974188
470,-75.110456,39.98086
470,-75.130517,39.976408
466,-75.124481,39.980709
465,-75.095982,39.988377
463,-75.170976,40.025761
463,-75.097602,39.982446
462,-75.211383,39.945715
460,-75.169257,39.964756
460,-75.161627,39.980823
460,-75.217158,39.949212
458,-75.213879,39.947802
458,-75.133823,39.974778
458,-75.133823,39.974778
455,-75.119522,39.976092
454,-75.212695,39.9487
